time,open,high,low,close,tick_volume,spread,real_volume
2022-06-01 09:00:00,253.58,254.72,253.54,254.72,27,1,15
2022-06-01 09:15:00,254.9,254.9,253.98,253.98,14,1,20
2022-06-01 09:30:00,254.46,254.59,253.93,254.46,21,1,21
2022-06-01 09:45:00,253.98,255.33,253.85,254.72,32,1,39
2022-06-01 10:00:00,255.25,256.91,254.81,256.17,75,1,96
2022-06-01 10:15:00,255.6,256.21,255.6,255.6,9,1,12
2022-06-01 10:30:00,256.12,257.0,256.12,257.0,44,1,49
2022-06-01 10:45:00,256.87,257.35,256.04,257.09,52,1,60
2022-06-01 11:00:00,256.56,256.91,255.38,255.38,29,1,32
2022-06-01 11:15:00,255.16,255.25,254.81,254.9,7,1,7
2022-06-01 11:30:00,254.9,256.39,254.9,256.39,17,1,23
2022-06-01 11:45:00,256.04,256.04,255.77,256.04,7,1,7
2022-06-01 12:00:00,256.17,256.17,255.6,256.08,10,1,16
2022-06-01 12:15:00,255.68,256.47,255.6,256.39,23,1,24
2022-06-01 12:30:00,256.3,256.56,256.04,256.56,22,1,23
2022-06-01 12:45:00,256.6,257.3,256.52,257.3,32,1,43
2022-06-01 13:00:00,257.3,257.52,257.22,257.52,60,1,70
2022-06-01 13:15:00,257.52,258.27,257.09,258.27,69,1,73
2022-06-01 13:30:00,258.4,258.97,258.31,258.66,38,1,52
2022-06-01 13:45:00,258.66,259.27,258.53,259.27,39,1,44
2022-06-01 14:00:00,259.1,259.58,258.66,258.66,24,1,29
2022-06-01 14:15:00,258.66,259.01,257.79,258.22,18,1,23
2022-06-01 14:30:00,258.22,258.75,258.22,258.7,7,1,8
2022-06-01 14:45:00,258.7,259.05,258.57,259.05,8,1,12
2022-06-01 15:30:00,258.31,258.44,258.31,258.4,3,1,4
2022-06-01 15:45:00,258.4,258.4,258.4,258.4,1,1,1
2022-06-01 16:15:00,258.22,258.22,257.87,257.87,2,1,3
2022-06-02 09:00:00,258.22,261.11,258.22,259.71,71,1,53
2022-06-02 09:15:00,259.23,259.84,258.88,259.1,16,1,16
2022-06-02 09:30:00,259.05,263.21,259.01,262.51,86,1,107
2022-06-02 09:45:00,262.07,262.56,261.16,261.16,40,1,46
2022-06-02 10:00:00,262.43,263.17,260.5,261.07,62,1,76
2022-06-02 10:15:00,260.85,261.29,259.67,259.84,31,1,42
2022-06-02 10:30:00,260.41,261.29,259.93,260.24,26,1,50
2022-06-02 10:45:00,261.33,261.51,259.97,259.97,14,1,17
2022-06-02 11:00:00,260.32,260.85,260.32,260.63,12,1,14
2022-06-02 11:15:00,260.06,261.29,259.97,261.29,16,1,16
2022-06-02 11:30:00,261.07,261.07,261.07,261.07,3,1,5
2022-06-02 11:45:00,260.85,261.72,260.46,260.63,52,1,71
2022-06-02 12:00:00,260.41,260.41,259.97,260.24,21,1,23
2022-06-02 12:15:00,260.11,260.11,258.75,258.84,27,1,32
2022-06-02 12:30:00,259.23,259.84,258.75,258.75,23,1,32
2022-06-02 12:45:00,258.4,258.92,257.79,258.4,30,1,33
2022-06-02 13:00:00,258.4,258.66,257.96,258.35,18,1,21
2022-06-02 13:15:00,258.22,258.53,258.22,258.53,9,1,14
2022-06-02 13:30:00,258.66,258.66,258.66,258.66,1,1,1
2022-06-02 13:45:00,258.75,259.41,258.75,259.41,8,1,8
2022-06-02 14:00:00,259.1,259.27,259.1,259.27,3,1,6
2022-06-02 14:15:00,259.27,259.27,258.97,258.97,7,1,7
2022-06-02 14:30:00,259.14,259.14,258.97,258.97,2,1,2
2022-06-02 14:45:00,258.92,258.92,258.22,258.22,29,1,47
2022-06-02 15:30:00,258.18,258.18,258.18,258.18,1,1,1
2022-06-02 15:45:00,257.83,257.83,257.79,257.79,1,1,3
2022-06-02 16:00:00,257.79,258.0,257.79,258.0,2,1,2
2022-06-02 16:15:00,257.87,257.87,257.79,257.79,3,1,14
2022-06-03 09:00:00,257.52,261.29,256.56,259.71,92,1,78
2022-06-03 09:15:00,259.71,259.93,258.7,258.7,11,1,13
2022-06-03 09:30:00,258.49,259.41,257.35,257.35,43,1,60
2022-06-03 09:45:00,257.09,258.44,257.09,258.22,12,1,13
2022-06-03 10:00:00,257.79,258.18,256.95,256.95,17,1,20
2022-06-03 10:15:00,256.95,258.31,256.69,257.96,15,1,18
2022-06-03 10:30:00,258.57,259.1,257.52,257.52,11,1,13
2022-06-03 10:45:00,257.44,257.44,257.17,257.17,3,1,3
2022-06-03 11:00:00,256.82,256.82,255.86,256.04,33,1,34
2022-06-03 11:15:00,256.04,256.21,254.28,255.6,55,1,61
2022-06-03 11:30:00,255.64,255.64,254.46,254.77,18,1,20
2022-06-03 11:45:00,254.85,255.16,254.55,254.85,22,1,24
2022-06-03 12:00:00,254.94,254.98,253.98,254.68,46,1,47
2022-06-03 12:15:00,254.68,255.6,254.2,254.2,21,1,27
2022-06-03 12:30:00,254.2,254.98,253.85,254.07,29,1,38
2022-06-03 12:45:00,254.28,254.37,253.67,253.67,10,1,13
2022-06-03 13:00:00,253.67,253.67,252.97,253.5,36,1,58
2022-06-03 13:15:00,253.32,253.76,253.23,253.23,10,1,12
2022-06-03 13:30:00,253.28,253.58,253.28,253.58,16,1,35
2022-06-03 13:45:00,253.06,253.37,252.97,253.37,6,1,6
2022-06-03 14:00:00,253.19,253.19,252.36,252.36,16,1,18
