time,open_BGI$,high_BGI$,low_BGI$,close_BGI$,tick_volume_BGI$,spread_BGI$,real_volume_BGI$,open_CCM$,high_CCM$,low_CCM$,close_CCM$,tick_volume_CCM$,spread_CCM$,real_volume_CCM$,open_GOLD11,high_GOLD11,low_GOLD11,close_GOLD11,tick_volume_GOLD11,spread_GOLD11,real_volume_GOLD11,open_IBOV,high_IBOV,low_IBOV,close_IBOV,tick_volume_IBOV,spread_IBOV,real_volume_IBOV,open_ICF$,high_ICF$,low_ICF$,close_ICF$,tick_volume_ICF$,spread_ICF$,real_volume_ICF$,open_IVVB11,high_IVVB11,low_IVVB11,close_IVVB11,tick_volume_IVVB11,spread_IVVB11,real_volume_IVVB11,OBV_ICF$,OBV_IVVB11,OBV_CCM$,OBV_GOLD11,OBV_BGI$,OBV_IBOV,RSI_ICF$,RSI_IVVB11,RSI_CCM$,RSI_GOLD11,RSI_BGI$,RSI_IBOV,ATR_ICF$,ATR_IVVB11,ATR_CCM$,ATR_GOLD11,ATR_BGI$,ATR_IBOV,VWAP_ICF$,VWAP_IVVB11,VWAP_CCM$,VWAP_GOLD11,VWAP_BGI$,VWAP_IBOV,EMA9_ICF$,EMA21_ICF$,EMA55_ICF$,EMA9_IVVB11,EMA21_IVVB11,EMA55_IVVB11,EMA9_CCM$,EMA21_CCM$,EMA55_CCM$,EMA9_GOLD11,EMA21_GOLD11,EMA55_GOLD11,EMA9_BGI$,EMA21_BGI$,EMA55_BGI$,EMA9_IBOV,EMA21_IBOV,EMA55_IBOV,close_price_target,open_price_target,behavior_target
2022-06-02 09:00:00,313.94,314.62,313.07,313.75,44.0,1.0,14.0,121.02,122.52,120.73,122.05,951.0,1.0,1191.0,9.45,9.45,9.44,9.45,0.0,1.0,0.0,111611.0,111641.0,111360.0,111360.0,0.0,0.0,0.0,258.22,261.11,258.22,259.71,71.0,1.0,53.0,216.55,216.89,216.25,216.25,0.0,1.0,0.0,507.0,836.0,-1480.0,440.0,-114.0,28905.0,64.98516320474762,65.27331189710586,67.74193548387092,57.142857142857146,46.45390070922006,36.02794411177644,0.575000000000013,0.6535714285714229,0.43714285714285445,0.014285714285713982,1.4464285714285754,225.28571428571428,257.2074901445466,215.38144616408718,121.99329769200679,9.400750887874176,313.31544776119404,111511.71634042184,258.3402069254182,258.0019057943767,256.9190505844131,216.19254657539136,215.88897626920883,215.46575576210338,121.40319189504667,121.54303266399141,122.11086487064219,9.447520134019358,9.432992891385757,9.38045098188279,312.96403182209593,313.1698277654863,313.8229894598228,111438.76576970395,111480.08355360791,111455.85453734893,312.73,313.17,0
2022-06-02 09:15:00,313.17,313.17,312.73,312.73,4.0,1.0,4.0,122.1,122.76,121.94,122.39,389.0,1.0,586.0,9.45,9.45,9.44,9.45,0.0,1.0,0.0,111611.0,111641.0,111360.0,111360.0,0.0,0.0,0.0,259.23,259.84,258.88,259.1,16.0,1.0,16.0,216.55,216.89,216.25,216.25,0.0,1.0,0.0,491.0,836.0,-1091.0,440.0,-118.0,28905.0,50.68870523415995,60.72727272727268,71.42857142857143,57.142857142857146,34.11458333333361,37.063655030800824,0.6092857142857245,0.6471428571428491,0.4721428571428551,0.013571428571428281,1.5157142857142876,236.5,257.24646074646074,215.38144616408718,122.0124484983867,9.400750887874176,313.30967980295566,111511.71634042184,258.4921655403346,258.1017325403424,256.9969416349698,216.2040372603131,215.92179660837164,215.4937644848854,121.60055351603734,121.62002969453764,122.12083398240496,9.448016107215487,9.43453899216887,9.382934875386976,312.91722545767675,313.12984342316935,313.783954121972,111423.01261576317,111469.16686691628,111452.43116101505,312.73,313.17,0
2022-06-02 09:30:00,313.17,313.17,312.73,312.73,0.0,1.0,0.0,122.45,122.66,122.01,122.1,240.0,1.0,452.0,9.45,9.45,9.44,9.45,0.0,1.0,0.0,111611.0,111641.0,111360.0,111360.0,0.0,0.0,0.0,259.05,263.21,259.01,262.51,86.0,1.0,107.0,216.55,216.89,216.25,216.25,0.0,1.0,0.0,577.0,836.0,-1331.0,440.0,-118.0,28905.0,74.57386363636382,56.79999999999998,60.69651741293511,50.0,33.245382585752054,38.32271762208068,0.8750000000000081,0.6635714285714199,0.48999999999999794,0.013571428571428281,1.5114285714285731,242.0,257.7709849362688,215.38144616408718,122.01498071824537,9.400750887874176,313.30967980295566,111511.71634042184,259.2957324322677,258.502484127584,257.193836576578,216.2132298082505,215.95163328033783,215.52077289613948,121.70044281282988,121.66366335867056,122.12008991160478,9.44841288577239,9.435944538335336,9.38533005840887,312.8797803661414,313.09349402106307,313.74631290333014,111410.41009261055,111459.24260628752,111449.13004812165,312.78,313.41,1
2022-06-02 09:45:00,313.41,313.41,312.78,312.78,5.0,1.0,5.0,121.98,121.98,121.32,121.56,404.0,1.0,980.0,9.45,9.45,9.44,9.45,0.0,1.0,0.0,111611.0,111641.0,111360.0,111360.0,0.0,0.0,0.0,262.07,262.56,261.16,261.16,40.0,1.0,46.0,216.55,216.89,216.25,216.25,0.0,1.0,0.0,537.0,836.0,-1735.0,440.0,-113.0,28905.0,62.57449344457715,54.04255319148927,51.26050420168072,75.0,34.11458333333265,13.670133729569102,0.9407142857142909,0.6614285714285627,0.5242857142857125,0.012857142857142583,1.5242857142857165,235.07142857142858,257.92110741971203,215.38144616408718,121.9938577338543,9.400750887874176,313.30323600973236,111511.71634042184,259.6685859458142,258.7440764796218,257.33548527027165,216.22058384660042,215.97875752757983,215.54681672127734,121.67235425026391,121.65423941697323,122.10008670047603,9.448730308617913,9.437222307577578,9.387639699179983,312.8598242929131,313.0649945646028,313.7118017282112,111400.32807408844,111450.22055117047,111445.9468321173,313.56,312.83,1
2022-06-02 10:00:00,312.83,313.99,312.83,313.56,9.0,1.0,9.0,121.64,121.78,121.56,121.64,97.0,1.0,124.0,9.44,9.44,9.42,9.44,37.0,1.0,4821.0,111363.0,112438.0,111363.0,112284.0,57088.0,0.0,47992900.0,262.43,263.17,260.5,261.07,62.0,1.0,76.0,215.28,215.8,215.09,215.09,240.0,1.0,4874.0,475.0,596.0,-1638.0,403.0,-104.0,85993.0,67.04980842911917,27.741935483871202,53.278688524590095,50.0,45.238095238095205,66.66666666666666,1.0785714285714343,0.7078571428571345,0.529285714285712,0.013571428571428281,1.5750000000000048,296.7857142857143,258.12341968911915,215.37025284045447,121.98995681327425,9.401474103585658,313.3087380952381,111534.57970234363,259.94886875665134,258.95552407238347,257.4688607963334,215.99446707728035,215.89796138870895,215.5305018383746,121.66588340021113,121.65294492452111,122.08365503260188,9.446984246894331,9.437474825070524,9.389509709923555,312.9998594343305,313.1099950587298,313.7063802379179,111577.06245927076,111526.01868288225,111475.87730239883,313.94,313.89,1
2022-06-02 10:15:00,313.89,313.94,313.89,313.94,2.0,1.0,2.0,121.64,121.83,121.46,121.63,119.0,1.0,158.0,9.44,9.45,9.43,9.44,35.0,1.0,2853.0,112337.0,112469.0,112168.0,112469.0,77385.0,0.0,52359200.0,260.85,261.29,259.67,259.84,31.0,1.0,42.0,215.15,215.25,214.83,215.18,127.0,1.0,3007.0,444.0,723.0,-1757.0,403.0,-102.0,163378.0,57.94701986754975,38.934426229508475,55.55555555555535,50.0,49.39999999999997,76.0607979734009,1.1942857142857204,0.674999999999991,0.5449999999999976,0.013571428571428281,1.5985714285714323,304.14285714285717,258.1768473895582,215.36646329987454,121.98515362188833,9.40213411649535,313.3117298578199,111570.63172303556,259.92709500532106,259.03593097489403,257.5535443393215,215.83157366182428,215.8326921715536,215.5179839155755,121.65870672016891,121.65085902229191,122.06745306715182,9.445587397515466,9.437704386427749,9.391312934569141,313.1878875474644,313.18545005339075,313.7147238008494,111755.44996741661,111611.74425716567,111511.34597017031,314.38,314.33,1
