ticker,first_date,last_date,fist_trade,last_trade,rows,columns,unique_dates
BGI$,2022-06-01,2024-11-22,09:00:00,17:45:00,17680,10,622
CCM$,2022-06-01,2024-11-22,09:00:00,17:45:00,18615,10,622
GOLD11,2022-06-01,2024-11-22,10:00:00,19:30:00,18122,10,622
IBOV,2022-06-01,2024-11-22,08:45:00,18:15:00,18128,10,622
ICF$,2022-06-01,2024-11-22,09:00:00,17:15:00,15490,10,622
IVVB11,2022-06-01,2024-11-22,10:00:00,19:30:00,18128,10,622
